,title,published_date,viewCount,likeCount,commentCount,Month
163,"('How Wind Turbine Work | Wind Energy to Electric Energy | Parts of Wind Turbine | Khan Sir Patna',)",2020-10-20 17:24:46+00:00,4580071,186456,5979.0,Oct
164,"('TRP Dispute | BARC | HANSA Research | TRP Dispute of Republic TV',)",2020-10-12 06:49:22+00:00,6702167,329199,18999.0,Oct
165,"('Armenia Azerbaijan Dispute | Why Turkey and Israel Support Azerbaijan | Armenia Azerbaijan War',)",2020-10-10 03:49:57+00:00,4405685,139594,9098.0,Oct
166,"('Hathras Rape Case New Update | Manisha Valmiki |',)",2020-10-04 14:01:41+00:00,10119416,727594,71727.0,Oct
167,"('Turkey Attack on Armenia | Armenia Genoside | Armenia Azerbaijan Conflict',)",2020-10-01 14:37:37+00:00,4238576,183333,16561.0,Oct
168,"('Azerbaijan Armenia Dispute  | Nagora Karabakh Clash | USSR | Caucasus Country |',)",2020-09-29 02:58:12+00:00,2983443,107543,6901.0,Sep
169,"('PM Modi Speech in UNO | Security Council of UN | Veto Power of UN | G4 Country | TBN in UNO | UNO',)",2020-09-27 17:42:47+00:00,12872138,403884,19948.0,Sep
170,"('Chinese Cyber Attack on ISRO | What is Hashing & Salting of Password | Encryption and Cryptography',)",2020-09-27 10:11:50+00:00,8411226,269951,8592.0,Sep
171,"('Meniscus | Capillary Fall and Rise | Angle of Contact | Cohesive & Adhesive  Force | Fluid Mechanism',)",2020-09-21 13:52:59+00:00,1445656,59482,3401.0,Sep
172,"('Agriculture Reform Bill 2020 | MSP | APMC | Aadti | Kisan Andolan | One India One Agri Market',)",2020-09-20 11:53:40+00:00,24070080,804446,64995.0,Sep
